"","unique_id","age_bin","gender","race","state","population","gun_ownership","crime_per_10e6","unemploy_rate"
"26",27255,"15-24","Male","Hispanic/Latino","CO",5758736,0.451,423.1,0.073
"27",27256,"25-34","Male","Race unspecified","OR",4217737,0.508,291.9,0.076
"28",27257,"25-34","Male","European-American/White","CA",39512223,0.283,442,0.101
"29",27260,"15-24","Male","European-American/White","VT",623989,0.505,173.4,0.056
"30",27261,"35-54","Male","European-American/White","MD",6045680,0.302,399.9,0.068
"31",27262,"55-74","Male","European-American/White","IL",12671821,0.278,425.9,0.095
"32",27263,"35-54","Male","African-American/Black","NY",19453561,0.199,363.8,0.1
"33",27264,"55-74","Male","Race unspecified","OR",4217737,0.508,291.9,0.076
"34",27265,"25-34","Male","European-American/White","MO",6137428,0.488,542.7,0.061
"35",27266,"55-74","Male","European-American/White","CA",39512223,0.283,442,0.101
"36",27267,"25-34","Male","African-American/Black","NV",3080156,0.473,460.3,0.128
"37",27268,"15-24","Male","European-American/White","AR",3017804,0.572,671.9,0.061
"38",27269,"35-54","Male","European-American/White","CA",39512223,0.283,442,0.101
"39",27270,"25-34","Male","Hispanic/Latino","IL",12671821,0.278,425.9,0.095
"40",27271,"25-34","Male","European-American/White","MO",6137428,0.488,542.7,0.061
"41",27272,"25-34","Male","Hispanic/Latino","CT",3565287,0.236,181.6,0.079
"42",27273,"35-54","Male","European-American/White","MO",6137428,0.488,542.7,0.061
"43",27274,"55-74","Male","Race unspecified","OK",3956971,0.547,458.6,0.061
"44",27275,"15-24","Male","Race unspecified","VA",8535519,0.446,208.7,0.062
"45",27281,"25-34","Female","Hispanic/Latino","FL",21477737,0.353,383.6,0.077
"46",27282,"25-34","Male","African-American/Black","IL",12671821,0.278,425.9,0.095
"47",27285,"25-34","Male","Hispanic/Latino","TX",28995881,0.457,446.5,0.076
"48",27286,"55-74","Male","European-American/White","AL",4903185,0.555,453.6,0.059
"49",27287,"35-54","Male","European-American/White","OK",3956971,0.547,458.6,0.061
"50",27288,"15-24","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"51",27289,"15-24","Male","African-American/Black","LA",4648794,0.531,639.4,0.083
"52",27290,"35-54","Male","European-American/White","IL",12671821,0.278,425.9,0.095
"53",27291,"15-24","Male","African-American/Black","NV",3080156,0.473,460.3,0.128
"54",27292,"25-34","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"55",27293,"25-34","Male","Hispanic/Latino","TX",28995881,0.457,446.5,0.076
"56",27294,"35-54","Female","African-American/Black","NY",19453561,0.199,363.8,0.1
"57",27295,"25-34","Male","African-American/Black","DE",973764,0.344,431.9,0.078
"58",27296,"25-34","Male","Asian/Pacific Islander","HI",1415872,0.149,254.2,0.116
"59",27297,"35-54","Male","European-American/White","NC",10488084,0.458,419.3,0.073
"60",27298,"25-34","Male","Hispanic/Latino","NM",2096829,0.462,778.3,0.084
"61",27299,"75+","Male","Race unspecified","WY",578759,0.662,234.2,0.058
"62",27300,"15-24","Male","Race unspecified","CO",5758736,0.451,423.1,0.073
"63",27301,"25-34","Male","Hispanic/Latino","AZ",7278717,0.463,484.8,0.079
"64",27305,"15-24","Female","African-American/Black","FL",21477737,0.353,383.6,0.077
"65",27306,"55-74","Male","European-American/White","AK",731545,0.645,837.8,0.078
"66",27307,"15-24","Male","European-American/White","NC",10488084,0.458,419.3,0.073
"67",27308,"25-34","Male","European-American/White","MO",6137428,0.488,542.7,0.061
"68",27309,"25-34","Male","Race unspecified","CA",39512223,0.283,442,0.101
"69",27310,"35-54","Male","Race unspecified","TX",28995881,0.457,446.5,0.076
"70",27311,"35-54","Female","European-American/White","OH",11689100,0.4,308.8,0.081
"71",27312,"35-54","Male","African-American/Black","NY",19453561,0.199,363.8,0.1
"72",27313,"35-54","Male","Race unspecified","OH",11689100,0.4,308.8,0.081
"73",27314,"25-34","Male","European-American/White","AL",4903185,0.555,453.6,0.059
"74",27315,"15-24","Male","African-American/Black","IN",6732219,0.448,357.7,0.071
"75",27316,"15-24","Female","European-American/White","IN",6732219,0.448,357.7,0.071
"76",27317,"35-54","Male","African-American/Black","PA",12801989,0.407,389.5,0.091
"77",27318,"15-24","Male","Hispanic/Latino","CA",39512223,0.283,442,0.101
"78",27319,"25-34","Male","European-American/White","ND",762062,0.551,329,0.051
"79",27320,"35-54","Female","European-American/White","MS",2976149,0.558,291.2,0.081
"80",27321,"25-34","Male","Asian/Pacific Islander","WA",7614893,0.421,293.7,0.084
"81",27323,"25-34","Male","Hispanic/Latino","CA",39512223,0.283,442,0.101
"82",27324,"15-24","Male","Race unspecified","GA",10617423,0.492,400.1,0.065
"83",27325,"35-54","Female","European-American/White","GA",10617423,0.492,400.1,0.065
"84",27326,"25-34","Male","European-American/White","GA",10617423,0.492,400.1,0.065
"85",27327,"35-54","Male","European-American/White","GA",10617423,0.492,400.1,0.065
"86",27328,"25-34","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"87",27329,"35-54","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"88",27330,"35-54","Male","European-American/White","CO",5758736,0.451,423.1,0.073
"89",27331,"35-54","Male","European-American/White","CO",5758736,0.451,423.1,0.073
"90",27332,"35-54","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"91",27333,"15-24","Male","African-American/Black","AL",4903185,0.555,453.6,0.059
"92",27334,"25-34","Male","Race unspecified","CO",5758736,0.451,423.1,0.073
"93",27336,"25-34","Male","European-American/White","KY",4467673,0.546,259.1,0.066
"94",27337,"35-54","Male","African-American/Black","AL",4903185,0.555,453.6,0.059
"95",27338,"75+","Male","Race unspecified","PA",12801989,0.407,389.5,0.091
"96",27339,"35-54","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"97",27340,"35-54","Male","Race unspecified","MO",6137428,0.488,542.7,0.061
"98",27341,"25-34","Male","African-American/Black","IN",6732219,0.448,357.7,0.071
"99",27342,"35-54","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"100",27343,"15-24","Male","African-American/Black","NY",19453561,0.199,363.8,0.1
"101",27348,"25-34","Female","European-American/White","AL",4903185,0.555,453.6,0.059
"102",27349,"15-24","Male","European-American/White","CA",39512223,0.283,442,0.101
"103",27350,"35-54","Male","European-American/White","CA",39512223,0.283,442,0.101
"104",27351,"35-54","Male","European-American/White","FL",21477737,0.353,383.6,0.077
"105",27352,"25-34","Male","Hispanic/Latino","TX",28995881,0.457,446.5,0.076
"106",27353,"25-34","Male","European-American/White","FL",21477737,0.353,383.6,0.077
"107",27354,"35-54","Male","Race unspecified","SC",5148714,0.494,530.7,0.062
"108",27355,"15-24","Male","African-American/Black","CT",3565287,0.236,181.6,0.079
"109",27356,"35-54","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"110",27357,"55-74","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"111",27358,"35-54","Male","European-American/White","MT",1068778,0.663,469.8,0.059
"112",27359,"35-54","Male","European-American/White","WI",5822434,0.453,323.4,0.063
"113",27360,"55-74","Male","European-American/White","NV",3080156,0.473,460.3,0.128
"114",27361,"35-54","Male","Race unspecified","TN",6829174,0.516,672.7,0.075
"115",27362,"35-54","Male","Race unspecified","FL",21477737,0.353,383.6,0.077
"116",27363,"15-24","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"117",27365,"15-24","Male","Hispanic/Latino","AZ",7278717,0.463,484.8,0.079
"118",27366,"35-54","Male","European-American/White","CA",39512223,0.283,442,0.101
"119",27367,"15-24","Male","Hispanic/Latino","TX",28995881,0.457,446.5,0.076
"120",27368,"15-24","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"121",27369,"55-74","Male","European-American/White","FL",21477737,0.353,383.6,0.077
"122",27370,"25-34","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"123",27371,"35-54","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"124",27375,"35-54","Male","African-American/Black","MI",9986857,0.402,478,0.099
"125",27376,"55-74","Male","European-American/White","HI",1415872,0.149,254.2,0.116
"126",27377,"35-54","Male","African-American/Black","VA",8535519,0.446,208.7,0.062
"127",27378,"35-54","Male","European-American/White","FL",21477737,0.353,383.6,0.077
"128",27379,"35-54","Male","Race unspecified","IL",12671821,0.278,425.9,0.095
"129",27380,"15-24","Male","Hispanic/Latino","NM",2096829,0.462,778.3,0.084
"130",27381,"55-74","Male","European-American/White","LA",4648794,0.531,639.4,0.083
"131",27382,"35-54","Male","European-American/White","NC",10488084,0.458,419.3,0.073
"132",27383,"15-24","Male","European-American/White","LA",4648794,0.531,639.4,0.083
"133",27384,"25-34","Male","European-American/White","CA",39512223,0.283,442,0.101
"134",27385,"35-54","Male","European-American/White","NJ",8882190,0.147,195.4,0.098
"135",27386,"25-34","Male","European-American/White","IL",12671821,0.278,425.9,0.095
"136",27387,"55-74","Male","European-American/White","CA",39512223,0.283,442,0.101
"137",27388,"35-54","Male","European-American/White","AZ",7278717,0.463,484.8,0.079
"138",27389,"55-74","Male","European-American/White","CT",3565287,0.236,181.6,0.079
"139",27390,"35-54","Male","Race unspecified","PA",12801989,0.407,389.5,0.091
"140",27391,"35-54","Male","European-American/White","IN",6732219,0.448,357.7,0.071
"141",27392,"55-74","Female","Native American/Alaskan","CA",39512223,0.283,442,0.101
"142",27393,"35-54","Male","African-American/Black","TX",28995881,0.457,446.5,0.076
"143",27394,"25-34","Male","Hispanic/Latino","CA",39512223,0.283,442,0.101
"144",27395,"25-34","Male","European-American/White","WI",5822434,0.453,323.4,0.063
"145",27396,"15-24","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"146",27397,"25-34","Male","European-American/White","CA",39512223,0.283,442,0.101
"147",27398,"55-74","Male","Asian/Pacific Islander","WA",7614893,0.421,293.7,0.084
"148",27399,"15-24","Male","African-American/Black","TX",28995881,0.457,446.5,0.076
"149",27402,"25-34","Male","African-American/Black","MD",6045680,0.302,399.9,0.068
"150",27403,"25-34","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"151",27404,"25-34","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"152",27405,"35-54","Male","Hispanic/Latino","AZ",7278717,0.463,484.8,0.079
"153",27406,"35-54","Male","European-American/White","OK",3956971,0.547,458.6,0.061
"154",27407,"35-54","Male","European-American/White","CO",5758736,0.451,423.1,0.073
"155",27413,"25-34","Male","European-American/White","AK",731545,0.645,837.8,0.078
"156",27414,"25-34","Male","African-American/Black","NJ",8882190,0.147,195.4,0.098
"157",27415,"25-34","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"158",27416,"25-34","Male","Race unspecified","CA",39512223,0.283,442,0.101
"159",27417,"35-54","Male","Race unspecified","WI",5822434,0.453,323.4,0.063
"160",27424,"55-74","Male","European-American/White","IA",3155070,0.436,303.5,0.053
"161",27425,"0-14","Male","European-American/White","NY",19453561,0.199,363.8,0.1
"162",27426,"35-54","Male","Hispanic/Latino","VA",8535519,0.446,208.7,0.062
"163",27427,"55-74","Female","African-American/Black","AL",4903185,0.555,453.6,0.059
"164",27428,"15-24","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"165",27429,"25-34","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"166",27430,"25-34","Male","Hispanic/Latino","CA",39512223,0.283,442,0.101
"167",27431,"25-34","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"168",27432,"35-54","Female","European-American/White","AL",4903185,0.555,453.6,0.059
"169",27434,"25-34","Male","African-American/Black","OH",11689100,0.4,308.8,0.081
"170",27435,"35-54","Male","African-American/Black","WI",5822434,0.453,323.4,0.063
"171",27436,"25-34","Female","Hispanic/Latino","KS",2913314,0.489,425,0.059
"172",27437,"35-54","Male","Race unspecified","OK",3956971,0.547,458.6,0.061
"173",27439,"25-34","Male","European-American/White","IA",3155070,0.436,303.5,0.053
"174",27440,"35-54","Female","European-American/White","SC",5148714,0.494,530.7,0.062
"175",27441,"35-54","Female","African-American/Black","IL",12671821,0.278,425.9,0.095
"176",27442,"15-24","Male","African-American/Black","CO",5758736,0.451,423.1,0.073
"177",27443,"35-54","Male","Race unspecified","OH",11689100,0.4,308.8,0.081
"178",27444,"15-24","Male","European-American/White","PA",12801989,0.407,389.5,0.091
"179",27445,"15-24","Male","African-American/Black","SC",5148714,0.494,530.7,0.062
"180",27446,"25-34","Male","European-American/White","AZ",7278717,0.463,484.8,0.079
"181",27447,"25-34","Male","African-American/Black","NC",10488084,0.458,419.3,0.073
"182",27448,"35-54","Male","African-American/Black","MD",6045680,0.302,399.9,0.068
"183",27449,"25-34","Female","European-American/White","AR",3017804,0.572,671.9,0.061
"184",27450,"35-54","Male","European-American/White","MD",6045680,0.302,399.9,0.068
"185",27451,"35-54","Male","Hispanic/Latino","AZ",7278717,0.463,484.8,0.079
"186",27452,"25-34","Male","European-American/White","AZ",7278717,0.463,484.8,0.079
"187",27453,"35-54","Male","European-American/White","KY",4467673,0.546,259.1,0.066
"188",27455,"25-34","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"189",27456,"15-24","Male","African-American/Black","NC",10488084,0.458,419.3,0.073
"190",27457,"35-54","Male","Race unspecified","CA",39512223,0.283,442,0.101
"191",27458,"35-54","Male","Race unspecified","CA",39512223,0.283,442,0.101
"192",27459,"35-54","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"193",27460,"15-24","Male","Hispanic/Latino","NM",2096829,0.462,778.3,0.084
"194",27461,"15-24","Female","Race unspecified","NM",2096829,0.462,778.3,0.084
"195",27462,"25-34","Male","Race unspecified","MO",6137428,0.488,542.7,0.061
"196",27463,"25-34","Male","Race unspecified","CA",39512223,0.283,442,0.101
"197",27464,"25-34","Male","Race unspecified","AK",731545,0.645,837.8,0.078
"198",27465,"25-34","Male","European-American/White","NY",19453561,0.199,363.8,0.1
"199",27466,"35-54","Male","African-American/Black","NC",10488084,0.458,419.3,0.073
"200",27467,"15-24","Male","Race unspecified","OH",11689100,0.4,308.8,0.081
"201",27468,"25-34","Male","Hispanic/Latino","NM",2096829,0.462,778.3,0.084
"202",27469,"35-54","Female","Race unspecified","TX",28995881,0.457,446.5,0.076
"203",27471,"25-34","Male","Hispanic/Latino","NY",19453561,0.199,363.8,0.1
"204",27472,"35-54","Male","African-American/Black","MS",2976149,0.558,291.2,0.081
"205",27475,"15-24","Male","European-American/White","FL",21477737,0.353,383.6,0.077
"206",27476,"25-34","Male","African-American/Black","MO",6137428,0.488,542.7,0.061
"207",27477,"15-24","Male","African-American/Black","WI",5822434,0.453,323.4,0.063
"208",27478,"55-74","Male","Race unspecified","OH",11689100,0.4,308.8,0.081
"209",27479,"25-34","Male","European-American/White","NV",3080156,0.473,460.3,0.128
"210",27480,"15-24","Male","African-American/Black","TX",28995881,0.457,446.5,0.076
"211",27481,"25-34","Male","African-American/Black","IL",12671821,0.278,425.9,0.095
"212",27482,"35-54","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"213",27483,"55-74","Male","Race unspecified","AZ",7278717,0.463,484.8,0.079
"214",27484,"35-54","Male","European-American/White","ME",1344212,0.468,108.6,0.054
"215",27485,"55-74","Male","African-American/Black","UT",3205958,0.468,260.7,0.047
"216",27486,"35-54","Male","Race unspecified","PA",12801989,0.407,389.5,0.091
"217",27487,"15-24","Male","African-American/Black","WI",5822434,0.453,323.4,0.063
"218",27488,"25-34","Female","Race unspecified","IL",12671821,0.278,425.9,0.095
"219",27489,"35-54","Male","European-American/White","CA",39512223,0.283,442,0.101
"220",27490,"25-34","Male","African-American/Black","CA",39512223,0.283,442,0.101
"221",27491,"35-54","Male","European-American/White","MO",6137428,0.488,542.7,0.061
"222",27493,"25-34","Male","European-American/White","OK",3956971,0.547,458.6,0.061
"223",27494,"35-54","Female","Race unspecified","NM",2096829,0.462,778.3,0.084
"224",27495,"25-34","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"225",27496,"35-54","Male","European-American/White","FL",21477737,0.353,383.6,0.077
"226",27498,"25-34","Male","Hispanic/Latino","KS",2913314,0.489,425,0.059
"227",27499,"35-54","Male","European-American/White","AR",3017804,0.572,671.9,0.061
"228",27500,"15-24","Male","Race unspecified","CA",39512223,0.283,442,0.101
"229",27502,"55-74","Male","European-American/White","NV",3080156,0.473,460.3,0.128
"230",27503,"35-54","Male","European-American/White","MA",6892503,0.147,308.8,0.089
"231",27504,"35-54","Male","European-American/White","OK",3956971,0.547,458.6,0.061
"232",27505,"55-74","Male","European-American/White","IN",6732219,0.448,357.7,0.071
"233",27506,"15-24","Male","Race unspecified","CA",39512223,0.283,442,0.101
"234",27507,"35-54","Male","European-American/White","MO",6137428,0.488,542.7,0.061
"235",27508,"55-74","Male","European-American/White","AL",4903185,0.555,453.6,0.059
"236",27510,"15-24","Male","European-American/White","MO",6137428,0.488,542.7,0.061
"237",27511,"15-24","Male","European-American/White","VA",8535519,0.446,208.7,0.062
"238",27512,"35-54","Male","Hispanic/Latino","OH",11689100,0.4,308.8,0.081
"239",27513,"35-54","Male","European-American/White","MI",9986857,0.402,478,0.099
"240",27514,"35-54","Male","African-American/Black","WA",7614893,0.421,293.7,0.084
"241",27515,"25-34","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"242",27516,"25-34","Male","African-American/Black","IL",12671821,0.278,425.9,0.095
"243",27517,"55-74","Male","European-American/White","AZ",7278717,0.463,484.8,0.079
"244",27518,"35-54","Female","European-American/White","AZ",7278717,0.463,484.8,0.079
"245",27519,"15-24","Male","Race unspecified","FL",21477737,0.353,383.6,0.077
"246",27520,"35-54","Male","European-American/White","AL",4903185,0.555,453.6,0.059
"247",27522,"35-54","Male","Hispanic/Latino","FL",21477737,0.353,383.6,0.077
"248",27523,"35-54","Female","European-American/White","FL",21477737,0.353,383.6,0.077
"249",27524,"35-54","Female","African-American/Black","IL",12671821,0.278,425.9,0.095
"250",27525,"25-34","Male","African-American/Black","TX",28995881,0.457,446.5,0.076
"251",27526,"35-54","Male","African-American/Black","AR",3017804,0.572,671.9,0.061
"252",27527,"35-54","Male","European-American/White","LA",4648794,0.531,639.4,0.083
"253",27528,"35-54","Male","Race unspecified","MO",6137428,0.488,542.7,0.061
"254",27530,"55-74","Male","African-American/Black","OH",11689100,0.4,308.8,0.081
"255",27531,"25-34","Male","European-American/White","MD",6045680,0.302,399.9,0.068
"256",27532,"35-54","Male","Native American/Alaskan","VA",8535519,0.446,208.7,0.062
"257",27533,"25-34","Male","African-American/Black","CA",39512223,0.283,442,0.101
"258",27534,"25-34","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"259",27535,"0-14","Male","Hispanic/Latino","UT",3205958,0.468,260.7,0.047
"260",27536,"35-54","Male","Hispanic/Latino","UT",3205958,0.468,260.7,0.047
"261",27537,"25-34","Male","African-American/Black","GA",10617423,0.492,400.1,0.065
"262",27538,"25-34","Male","European-American/White","ND",762062,0.551,329,0.051
"263",27539,"35-54","Male","Hispanic/Latino","NV",3080156,0.473,460.3,0.128
"264",27540,"35-54","Male","European-American/White","LA",4648794,0.531,639.4,0.083
"265",27541,"35-54","Male","European-American/White","UT",3205958,0.468,260.7,0.047
"266",27542,"35-54","Male","European-American/White","KY",4467673,0.546,259.1,0.066
"267",27543,"55-74","Male","European-American/White","CO",5758736,0.451,423.1,0.073
"268",27544,"35-54","Male","European-American/White","LA",4648794,0.531,639.4,0.083
"269",27545,"15-24","Male","African-American/Black","WV",1792147,0.585,355.9,0.083
"270",27546,"15-24","Male","Hispanic/Latino","OR",4217737,0.508,291.9,0.076
"271",27547,"35-54","Male","European-American/White","FL",21477737,0.353,383.6,0.077
"272",27548,"55-74","Male","European-American/White","NC",10488084,0.458,419.3,0.073
"273",27549,"35-54","Male","Hispanic/Latino","CA",39512223,0.283,442,0.101
"274",27550,"55-74","Male","European-American/White","LA",4648794,0.531,639.4,0.083
"275",27551,"25-34","Female","European-American/White","WI",5822434,0.453,323.4,0.063
"276",27552,"25-34","Male","European-American/White","MA",6892503,0.147,308.8,0.089
"277",27553,"15-24","Male","Asian/Pacific Islander","AK",731545,0.645,837.8,0.078
"278",27554,"25-34","Male","Asian/Pacific Islander","CA",39512223,0.283,442,0.101
"279",27555,"25-34","Female","European-American/White","IN",6732219,0.448,357.7,0.071
"280",27556,"35-54","Male","Hispanic/Latino","FL",21477737,0.353,383.6,0.077
"281",27557,"15-24","Male","European-American/White","NY",19453561,0.199,363.8,0.1
"282",27558,"55-74","Male","Race unspecified","SD",884659,0.553,501.4,0.046
"283",27559,"35-54","Male","Race unspecified","TN",6829174,0.516,672.7,0.075
"284",27560,"75+","Female","European-American/White","MI",9986857,0.402,478,0.099
"285",27561,"25-34","Male","Race unspecified","TN",6829174,0.516,672.7,0.075
"286",27562,"25-34","Male","Native American/Alaskan","AZ",7278717,0.463,484.8,0.079
"287",27563,"35-54","Male","Race unspecified","IN",6732219,0.448,357.7,0.071
"288",27564,"0-14","Female","African-American/Black","GA",10617423,0.492,400.1,0.065
"289",27565,"25-34","Male","European-American/White","TN",6829174,0.516,672.7,0.075
"290",27567,"15-24","Male","European-American/White","NY",19453561,0.199,363.8,0.1
"291",27568,"15-24","Female","European-American/White","NY",19453561,0.199,363.8,0.1
"292",27569,"35-54","Male","European-American/White","NC",10488084,0.458,419.3,0.073
"293",27570,"15-24","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"294",27571,"35-54","Male","Hispanic/Latino","CA",39512223,0.283,442,0.101
"295",27572,"35-54","Male","Race unspecified","CO",5758736,0.451,423.1,0.073
"296",27573,"15-24","Male","Race unspecified","IL",12671821,0.278,425.9,0.095
"297",27574,"15-24","Male","African-American/Black","OH",11689100,0.4,308.8,0.081
"298",27575,"35-54","Male","European-American/White","CA",39512223,0.283,442,0.101
"299",27576,"25-34","Male","European-American/White","AL",4903185,0.555,453.6,0.059
"300",27577,"75+","Male","Race unspecified","ID",1787065,0.601,242.6,0.054
"301",27578,"75+","Female","Race unspecified","ID",1787065,0.601,242.6,0.054
"302",27579,"75+","Male","Race unspecified","GA",10617423,0.492,400.1,0.065
"303",27580,"15-24","Male","Race unspecified","CA",39512223,0.283,442,0.101
"304",27581,"35-54","Male","Race unspecified","TX",28995881,0.457,446.5,0.076
"305",27582,"35-54","Male","African-American/Black","VA",8535519,0.446,208.7,0.062
"306",27583,"35-54","Male","Hispanic/Latino","CO",5758736,0.451,423.1,0.073
"307",27584,"35-54","Male","European-American/White","PA",12801989,0.407,389.5,0.091
"308",27585,"25-34","Male","Race unspecified","GA",10617423,0.492,400.1,0.065
"309",27586,"35-54","Male","Race unspecified","MO",6137428,0.488,542.7,0.061
"310",27587,"25-34","Female","European-American/White","AZ",7278717,0.463,484.8,0.079
"311",27588,"35-54","Male","African-American/Black","AL",4903185,0.555,453.6,0.059
"312",27589,"55-74","Female","European-American/White","GA",10617423,0.492,400.1,0.065
"313",27590,"15-24","Female","European-American/White","LA",4648794,0.531,639.4,0.083
"314",27591,"25-34","Male","European-American/White","IN",6732219,0.448,357.7,0.071
"315",27592,"35-54","Male","Race unspecified","CA",39512223,0.283,442,0.101
"316",27593,"35-54","Male","European-American/White","WY",578759,0.662,234.2,0.058
"317",27594,"35-54","Male","Hispanic/Latino","NM",2096829,0.462,778.3,0.084
"318",27595,"75+","Male","Race unspecified","NC",10488084,0.458,419.3,0.073
"319",27596,"15-24","Female","Race unspecified","CA",39512223,0.283,442,0.101
"320",27597,"25-34","Male","Hispanic/Latino","WI",5822434,0.453,323.4,0.063
"321",27598,"25-34","Male","European-American/White","NE",1934408,0.452,334.1,0.042
"322",27599,"15-24","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"323",27601,"35-54","Male","European-American/White","PA",12801989,0.407,389.5,0.091
"324",27602,"55-74","Male","European-American/White","MI",9986857,0.402,478,0.099
"325",27603,"15-24","Male","African-American/Black","NY",19453561,0.199,363.8,0.1
"326",27604,"25-34","Male","African-American/Black","CO",5758736,0.451,423.1,0.073
"327",27605,"15-24","Male","Native American/Alaskan","ID",1787065,0.601,242.6,0.054
"328",27606,"55-74","Male","Race unspecified","SC",5148714,0.494,530.7,0.062
"329",27607,"35-54","Male","African-American/Black","AL",4903185,0.555,453.6,0.059
"330",27608,"35-54","Male","Race unspecified","CA",39512223,0.283,442,0.101
"331",27609,"35-54","Male","Race unspecified","CA",39512223,0.283,442,0.101
"332",27610,"15-24","Male","European-American/White","TX",28995881,0.457,446.5,0.076
"333",27611,"35-54","Male","Race unspecified","LA",4648794,0.531,639.4,0.083
"334",27612,"25-34","Male","Hispanic/Latino","CO",5758736,0.451,423.1,0.073
"335",27613,"25-34","Male","European-American/White","OK",3956971,0.547,458.6,0.061
"336",27614,"25-34","Male","African-American/Black","FL",21477737,0.353,383.6,0.077
"337",27615,"35-54","Male","Race unspecified","CA",39512223,0.283,442,0.101
"338",27616,"35-54","Male","Race unspecified","OH",11689100,0.4,308.8,0.081
"339",27617,"25-34","Male","Hispanic/Latino","TX",28995881,0.457,446.5,0.076
"340",27618,"55-74","Male","European-American/White","NC",10488084,0.458,419.3,0.073
"341",27619,"35-54","Female","European-American/White","MO",6137428,0.488,542.7,0.061
"342",27620,"55-74","Male","Race unspecified","PA",12801989,0.407,389.5,0.091
"343",27621,"55-74","Male","Race unspecified","AR",3017804,0.572,671.9,0.061
"344",27622,"25-34","Male","European-American/White","NV",3080156,0.473,460.3,0.128
"345",27623,"35-54","Male","African-American/Black","MI",9986857,0.402,478,0.099
"346",27624,"35-54","Male","Race unspecified","MO",6137428,0.488,542.7,0.061
"347",27625,"25-34","Male","African-American/Black","CO",5758736,0.451,423.1,0.073
"348",27626,"35-54","Male","Hispanic/Latino","FL",21477737,0.353,383.6,0.077
"349",27627,"35-54","Male","European-American/White","WA",7614893,0.421,293.7,0.084
